,Tiempo,Tensión
0,-0.005,0.66
1,-0.0049960000000000004,0.66
2,-0.004992,0.66
3,-0.004988,0.64
4,-0.004984,0.66
5,-0.00498,0.68
6,-0.004976,0.68
7,-0.004972,0.66
8,-0.004968,0.66
9,-0.0049640000000000005,0.68
10,-0.00496,0.68
11,-0.004956,0.68
12,-0.004952,0.7000000000000001
13,-0.004948,0.68
14,-0.0049440000000000005,0.7000000000000001
15,-0.00494,0.7000000000000001
16,-0.004936,0.72
17,-0.004932,0.72
18,-0.004928,0.72
19,-0.004924,0.72
20,-0.00492,0.72
21,-0.004916,0.74
22,-0.004912,0.72
23,-0.004908,0.74
24,-0.004904,0.74
25,-0.0049,0.72
26,-0.004896,0.74
27,-0.0048920000000000005,0.74
28,-0.004888,0.74
29,-0.004884,0.74
30,-0.00488,0.74
31,-0.004876,0.74
32,-0.0048720000000000005,0.76
33,-0.004868,0.78
34,-0.004864,0.76
35,-0.00486,0.76
36,-0.004856,0.76
37,-0.004852,0.78
38,-0.004848,0.78
39,-0.004844,0.78
40,-0.0048400000000000006,0.8
41,-0.004836,0.8
42,-0.004832,0.78
43,-0.004828,0.8
44,-0.004824,0.8
45,-0.0048200000000000005,0.8
46,-0.004816,0.8
47,-0.004812,0.8
48,-0.004808,0.8
49,-0.004804,0.8
50,-0.0048000000000000004,0.8
51,-0.004796,0.8200000000000001
52,-0.004792,0.8200000000000001
53,-0.004788,0.8200000000000001
54,-0.004784,0.8200000000000001
55,-0.00478,0.84
56,-0.004776,0.84
57,-0.004772,0.86
58,-0.004768,0.84
59,-0.004764,0.84
60,-0.00476,0.84
61,-0.004756,0.84
62,-0.004752,0.84
63,-0.0047480000000000005,0.86
64,-0.004744,0.84
65,-0.00474,0.84
66,-0.004736,0.86
67,-0.004732,0.86
68,-0.004728,0.86
69,-0.004724,0.88
70,-0.00472,0.88
71,-0.004716,0.88
72,-0.004712,0.88
73,-0.004708,0.86
74,-0.004704,0.88
75,-0.0047,0.88
76,-0.0046960000000000005,0.88
77,-0.004692,0.88
78,-0.004688,0.88
79,-0.004684,0.9
80,-0.00468,0.9
81,-0.0046760000000000005,0.9
82,-0.004672,0.9
83,-0.004668,0.9
84,-0.004664,0.9
85,-0.00466,0.9
86,-0.004656,0.9
87,-0.004652,0.92
88,-0.004648,0.9
89,-0.0046440000000000006,0.9
90,-0.00464,0.92
91,-0.004636,0.92
92,-0.004632,0.9400000000000001
93,-0.004628,0.92
94,-0.0046240000000000005,0.92
95,-0.00462,0.9400000000000001
96,-0.004616,0.92
97,-0.004612,0.9400000000000001
98,-0.004608,0.9400000000000001
99,-0.0046040000000000005,0.9400000000000001
100,-0.0046,0.92
101,-0.004596,0.9400000000000001
102,-0.004592,0.9400000000000001
103,-0.004588,0.9400000000000001
104,-0.004584,0.9400000000000001
105,-0.00458,0.96
106,-0.004576,0.96
107,-0.004572,0.96
108,-0.004568,0.96
109,-0.004564,0.96
110,-0.00456,0.96
111,-0.004556,0.96
112,-0.0045520000000000005,0.96
113,-0.004548,0.96
114,-0.004544,0.96
115,-0.00454,0.96
116,-0.004536,0.96
117,-0.0045320000000000004,0.96
118,-0.004528,0.98
119,-0.004524,0.96
120,-0.00452,0.96
121,-0.004516,0.96
122,-0.004512,0.96
123,-0.004508,0.96
124,-0.004504,0.98
125,-0.0045000000000000005,0.96
126,-0.004496,0.98
127,-0.004492,0.98
128,-0.004488,0.98
129,-0.004484,0.98
130,-0.0044800000000000005,0.98
131,-0.004476,0.98
132,-0.004472,1.0
133,-0.004468,0.98
134,-0.004464,1.0
135,-0.00446,1.0
136,-0.004456,0.98
137,-0.004452,1.0
138,-0.0044480000000000006,0.98
139,-0.004444,0.98
140,-0.00444,1.0
141,-0.004436,1.0
142,-0.004432,1.0
143,-0.004428,1.0
144,-0.004424,1.0
145,-0.00442,1.0
146,-0.004416,1.0
147,-0.004412,1.0
148,-0.0044080000000000005,1.0
149,-0.004404,1.0
150,-0.0044,1.0
151,-0.004396000000000001,1.0
152,-0.004392,1.02
153,-0.004388,1.02
154,-0.004384,1.0
155,-0.00438,1.0
156,-0.004376,1.0
157,-0.004372,1.02
158,-0.004368,1.02
159,-0.004364,1.02
160,-0.00436,1.02
161,-0.0043560000000000005,1.02
162,-0.004352,1.02
163,-0.004348,1.02
164,-0.004344,1.02
165,-0.00434,1.02
166,-0.0043360000000000004,1.02
167,-0.004332,1.0
168,-0.004328,1.0
169,-0.004324,1.02
170,-0.00432,1.02
171,-0.004316,1.02
172,-0.004312,1.02
173,-0.004308,1.02
174,-0.0043040000000000005,1.02
175,-0.0043,1.02
176,-0.004296,1.02
177,-0.004292,1.02
178,-0.004288,1.02
179,-0.0042840000000000005,1.02
180,-0.00428,1.0
181,-0.004276,1.02
182,-0.004272,1.02
183,-0.004268,1.02
184,-0.004264,1.0
185,-0.00426,1.02
186,-0.004256,1.02
187,-0.004252000000000001,1.02
188,-0.004248,1.02
189,-0.004244,1.0
190,-0.00424,1.02
191,-0.004236,1.02
192,-0.004232,1.02
193,-0.004228,1.02
194,-0.004224,1.02
195,-0.00422,1.02
196,-0.004216,1.02
197,-0.0042120000000000005,1.02
198,-0.004208,1.04
199,-0.004204,1.02
200,-0.004200000000000001,1.02
201,-0.004196,1.02
202,-0.004192,1.02
203,-0.004188,1.04
204,-0.004184,1.0
205,-0.00418,1.02
206,-0.004176,1.04
207,-0.004172,1.02
208,-0.004168,1.0
209,-0.004164,1.0
210,-0.0041600000000000005,1.0
211,-0.004156,1.02
212,-0.004152,1.02
213,-0.004148,1.0
214,-0.004144,1.0
215,-0.0041400000000000005,1.0
216,-0.004136,1.02
217,-0.004132,1.02
218,-0.004128,1.02
219,-0.004124,1.0
220,-0.00412,1.0
221,-0.004116,1.0
222,-0.004112,1.0
223,-0.0041080000000000005,0.98
224,-0.004104,1.0
225,-0.0041,1.02
226,-0.004096,1.0
227,-0.004092,1.0
228,-0.0040880000000000005,0.98
229,-0.004084,0.98
230,-0.00408,1.0
231,-0.004076,1.0
232,-0.004072,1.0
233,-0.0040680000000000004,0.98
234,-0.004064,0.98
235,-0.00406,0.98
236,-0.004056000000000001,0.98
237,-0.004052,0.98
238,-0.004048,0.96
239,-0.004044,0.98
240,-0.00404,0.98
241,-0.0040360000000000005,0.96
242,-0.004032,0.98
243,-0.004028,0.98
244,-0.004024,1.0
245,-0.00402,0.96
246,-0.0040160000000000005,0.98
247,-0.004012,0.96
248,-0.004008,0.96
249,-0.004004000000000001,0.96
250,-0.004,0.96
251,-0.003996,0.96
252,-0.003992,0.96
253,-0.003988,0.96
254,-0.003984,0.96
255,-0.00398,0.9400000000000001
256,-0.003976,0.9400000000000001
257,-0.003972,0.9400000000000001
258,-0.003968,0.96
259,-0.0039640000000000005,0.96
260,-0.00396,0.9400000000000001
261,-0.003956,0.9400000000000001
262,-0.003952000000000001,0.9400000000000001
263,-0.003948,0.9400000000000001
264,-0.0039440000000000005,0.9400000000000001
265,-0.00394,0.9400000000000001
266,-0.003936,0.9400000000000001
267,-0.003932,0.92
268,-0.003928,0.9400000000000001
269,-0.003924,0.9400000000000001
270,-0.00392,0.92
271,-0.003916,0.9400000000000001
272,-0.0039120000000000005,0.92
273,-0.003908,0.92
274,-0.0039040000000000004,0.92
275,-0.0039000000000000003,0.92
276,-0.003896,0.92
277,-0.003892,0.92
278,-0.003888,0.9
279,-0.0038840000000000003,0.92
280,-0.00388,0.9
281,-0.003876,0.92
282,-0.0038720000000000004,0.9
